mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_30565,CN=CNc1cocn1,4.86758,0.9287,0.78368,1.3941,76.64,-0.2061,0.0045,0.2106,1408.0821,0.125475,-434.097773,-434.089564,-434.08862,-434.131038,29.756
gdb_102235,CC(=O)NC(CO)C#C,2.38843,1.01169,0.86451,2.7335,75.93,-0.2475,0.024,0.2715,1415.9016,0.14473,-439.080241,-439.069752,-439.068808,-439.117265,36.614
gdb_113530,OCC1OC11CCC1=O,3.56248,0.99114,0.87152,3.1303,70.76,-0.2484,-0.044,0.2045,1329.0707,0.133753,-458.939488,-458.930642,-458.929697,-458.973846,31.949
gdb_133663,CC(C)OCC(F)(F)F,3.19526,0.88819,0.82414,2.447,62.11,-0.2682,0.0746,0.3428,1425.759,0.141539,-570.595125,-570.585257,-570.584313,-570.630975,35.014
gdb_79848,CC12COC3C1C(O)C23,2.97764,1.70538,1.26926,1.7473,74.64,-0.2333,0.0746,0.3079,1008.9565,0.159959,-422.978424,-422.970806,-422.969862,-423.009906,30.968
gdb_14770,CCCCCOC=O,9.4164,0.56773,0.5578,4.2598,74.04,-0.2763,0.0102,0.2865,1980.8801,0.175171,-386.173369,-386.163493,-386.162549,-386.209771,33.318
gdb_124156,CC#Cc1nnn(n1)C,6.77584,0.76697,0.69501,2.4269,82.45,-0.2459,-0.0278,0.218,1599.2969,0.112362,-412.957999,-412.949044,-412.9481,-412.994605,29.768
gdb_82094,CC1C2CN2C1C1CO1,2.60983,1.55336,1.2702,1.1954,77.61,-0.2304,0.0785,0.3089,1077.2603,0.171346,-403.074333,-403.066033,-403.065089,-403.107179,31.949
gdb_23967,c1nc(c2n1CC2)C#N,3.58924,1.36968,1.00405,7.8927,76.59,-0.2422,-0.0112,0.2309,1100.8863,0.104105,-395.748473,-395.741522,-395.740578,-395.780254,25.671
gdb_14298,CC1C2CC(C)=CC12,3.56347,1.62172,1.56722,0.2547,80.59,-0.2143,0.0281,0.2424,960.6781,0.177698,-311.879572,-311.871678,-311.870734,-311.911298,30.823
gdb_92530,CC1C2CCC2CC1O,2.20407,1.66485,1.35929,1.7027,83.6,-0.2526,0.0594,0.312,1102.0311,0.207333,-388.295403,-388.286566,-388.285622,-388.328416,35.013
gdb_34963,N#CC1C2CC3CN1C23,3.12417,1.6033,1.52735,3.9678,74.7,-0.2293,0.0065,0.2358,929.2035,0.138795,-380.818137,-380.811417,-380.810473,-380.849215,26.967
gdb_17970,C1CC=CCCOC1,2.53135,2.35352,1.41573,1.0795,76.66,-0.2358,0.0228,0.2586,937.9787,0.179429,-349.004813,-348.997377,-348.996433,-349.036092,29.531
gdb_58327,CC(C)C(O)CCC=O,3.75276,0.6292,0.60555,3.2399,83.91,-0.2473,-0.0177,0.2295,1921.7429,0.202033,-425.443842,-425.432494,-425.43155,-425.481316,40.213
gdb_62086,CC(CNC=O)C(N)=O,3.57327,0.81721,0.77759,5.5515,73.13,-0.245,0.0249,0.2699,1503.9343,0.157932,-456.407806,-456.397178,-456.396234,-456.445534,36.718
gdb_126883,CCN=C1NN=NC=N1,4.79151,0.97974,0.85755,0.6662,78.39,-0.2427,-0.0942,0.1484,1334.3673,0.125481,-430.219751,-430.211559,-430.210615,-430.253778,29.18
gdb_35700,N#CC1OCC11CCN1,2.40178,1.56386,1.12708,3.715,72.68,-0.2465,-0.0051,0.2414,1092.534,0.136682,-417.969543,-417.961443,-417.960499,-418.002859,29.839
gdb_74726,CC1=CC2CC1(C2)C=O,2.3412,1.70823,1.19828,2.6733,81.56,-0.2278,-0.0249,0.203,1083.3425,0.158858,-385.872829,-385.864605,-385.863661,-385.905736,31.632
gdb_41233,C1OC23CC4C(C2)N4C13,3.32928,1.86673,1.75627,1.0156,72.94,-0.2329,0.0625,0.2954,852.38,0.151611,-401.873678,-401.867805,-401.86686,-401.903456,25.996
gdb_130243,NC1=NOC(=N)OC1=O,3.28922,1.5298,1.04952,3.7091,61.89,-0.2527,-0.0802,0.1725,1027.5022,0.076928,-505.940767,-505.933112,-505.932168,-505.973628,27.968
gdb_42617,O=C1C2C3OC(=O)C1C23,2.80945,1.9225,1.40541,5.1631,61.68,-0.2657,-0.0374,0.2283,875.5414,0.090175,-456.583853,-456.577646,-456.576701,-456.614615,24.405
gdb_40483,C1OC1C12CC3C1CN23,3.42662,1.54885,1.31438,1.9896,75.95,-0.2321,0.0826,0.3147,999.0482,0.148419,-401.820689,-401.813597,-401.812653,-401.852424,28.121
gdb_62922,CC1(C)C2CC1CCC2,2.45349,1.5279,1.44689,0.1167,90.92,-0.2631,0.0761,0.3392,1119.7451,0.231805,-352.364465,-352.355858,-352.354914,-352.396703,35.89
gdb_75331,CC1=CCC2CC2(O)C1,2.62295,1.41128,1.0658,1.4818,84.45,-0.2296,0.0297,0.2594,1204.1709,0.182782,-387.100845,-387.092169,-387.091225,-387.133569,34.6
gdb_13932,CC1CCC11CCC1,3.17628,1.72379,1.42704,0.1045,81.79,-0.2644,0.0865,0.3509,1006.6512,0.201057,-313.056163,-313.048012,-313.047067,-313.088395,31.968
gdb_98313,OCC(=O)C(O)C1CO1,2.95811,1.06934,0.8982,2.5272,65.23,-0.2724,-0.0427,0.2298,1297.848,0.133012,-496.078239,-496.068825,-496.067881,-496.113635,33.236
gdb_130260,NC1=NOC(=O)OC1=N,3.29807,1.51904,1.04091,4.5231,61.4,-0.2576,-0.0708,0.1868,1028.8389,0.077275,-505.951284,-505.943726,-505.942782,-505.983682,27.766
gdb_24706,c1cncc2c1OCO2,3.95027,1.62304,1.15904,2.6564,70.7,-0.2239,-0.0111,0.2128,971.041,0.104298,-436.739271,-436.732818,-436.731874,-436.771213,24.229
gdb_114214,OCC1CC2(CC2)C1O,2.72525,1.15486,0.98281,1.6203,78.8,-0.2447,0.0592,0.3038,1288.0855,0.181599,-424.189752,-424.180254,-424.17931,-424.224078,35.954
gdb_122789,CCCCCC(=O)C=O,4.4274,0.53416,0.4837,1.1937,81.03,-0.2499,-0.0933,0.1565,2247.7695,0.178855,-424.258216,-424.247308,-424.246364,-424.295998,37.188
gdb_24715,C1CC2C1N1C=CN=C21,3.89852,1.58803,1.36191,3.6314,77.51,-0.2171,0.0303,0.2474,958.9586,0.139822,-380.858121,-380.851593,-380.850649,-380.889214,26.036
gdb_8844,CN(C=O)C(=O)CO,4.77866,1.23173,0.99149,2.1962,60.09,-0.2744,-0.0434,0.231,1103.8107,0.11719,-436.983263,-436.974626,-436.973682,-437.016875,29.652
gdb_57311,CC(C)(C)C(=N)NC=O,2.98112,1.0235,0.91775,4.5213,81.32,-0.248,-0.0194,0.2286,1377.34,0.180718,-420.451364,-420.440891,-420.439947,-420.486988,38.281
gdb_102606,CC(=O)NC(CO)CO,2.43018,1.02155,0.90716,2.3368,72.79,-0.2385,0.0364,0.2749,1397.5066,0.169492,-477.451928,-477.441294,-477.44035,-477.488637,37.332
gdb_58449,CC(C)C1(C)CC(=O)O1,2.53551,1.29405,1.08331,4.227,78.12,-0.2691,0.0143,0.2835,1226.5083,0.180484,-424.272314,-424.262623,-424.261679,-424.306857,36.544
gdb_74126,C1C(=CC(=O)C=CN1)N,2.29587,1.62647,0.98915,6.751,81.97,-0.2095,-0.0278,0.1818,1156.6248,0.138672,-418.036708,-418.028541,-418.027596,-418.069344,31.551
gdb_66977,CC12C3CC(C13)C2C=O,2.58027,1.65202,1.24675,2.8356,79.1,-0.2349,-0.0209,0.214,1057.4941,0.158739,-385.850507,-385.842462,-385.841518,-385.88311,31.083
gdb_128344,CNC1=NNN=NC1=N,2.86276,1.56146,1.01679,3.4627,76.44,-0.2157,-0.0454,0.1702,1105.7146,0.114582,-446.265894,-446.257698,-446.256754,-446.299423,29.375
gdb_14965,CCC1=CCCOC1,4.09856,1.3741,1.13712,1.2337,77.81,-0.2339,0.0263,0.2602,1116.9307,0.178093,-349.018141,-349.00995,-349.009006,-349.05101,30.648
gdb_132805,c1cc(c(c(c1)O)F)O,2.30688,1.84738,1.02586,0.9721,67.86,-0.2207,0.0069,0.2276,1055.1253,0.101161,-481.854481,-481.847072,-481.846128,-481.886028,29.157
gdb_63600,CC1(O)CC1C#CC#N,4.62666,0.70042,0.6646,6.0724,86.94,-0.265,-0.0388,0.2262,1640.902,0.122238,-400.727088,-400.717799,-400.716854,-400.761444,33.759
gdb_79234,CC12C3CC1(C)C(O)C23,2.05171,1.68491,1.59156,1.8497,82.19,-0.2357,0.0702,0.3059,1046.6399,0.181751,-387.050037,-387.041184,-387.04024,-387.082739,34.908
gdb_79883,CC1C2N3CCC3C12O,2.33198,1.71505,1.36157,2.6577,78.55,-0.2056,0.0662,0.2718,1046.6882,0.171044,-403.061837,-403.053506,-403.052561,-403.094192,32.941
gdb_7893,CC1=CN(C(=O)C1)C,3.87967,1.63988,1.17799,3.3043,73.04,-0.2011,0.0034,0.2045,1019.311,0.141863,-363.919255,-363.911039,-363.910094,-363.951744,29.729
gdb_65565,CC1(CN2CC2)CCO1,3.24052,1.02435,0.95411,1.9071,82.4,-0.2335,0.0782,0.3117,1357.302,0.193226,-404.30013,-404.290702,-404.289758,-404.335066,35.029
gdb_23193,ON=C1CN2CC12C#N,2.63685,1.38483,0.99835,4.3723,72.36,-0.2571,-0.0235,0.2337,1133.0853,0.100441,-432.779441,-432.771581,-432.770637,-432.812024,29.133
gdb_100791,COC(C)C(C)N1CC1,3.05321,1.00406,0.8054,0.4708,86.72,-0.231,0.0909,0.3219,1509.0323,0.214725,-405.510456,-405.499583,-405.498638,-405.546685,39.609
gdb_12052,CC1(CC2CN12)C=O,3.57649,1.84301,1.56802,2.7527,68.09,-0.2437,-0.0247,0.219,866.9394,0.14114,-363.82503,-363.81739,-363.816446,-363.856889,28.758
gdb_108554,CCC12COC3CN1C23,3.27452,1.42091,1.24324,0.6057,77.35,-0.2303,0.0823,0.3126,1089.7174,0.172339,-403.10531,-403.097519,-403.096574,-403.137575,30.831
gdb_29027,Cc1ccnccc1=O,2.74673,1.61291,1.02246,2.3782,84.43,-0.2497,-0.0908,0.1589,1112.7267,0.125595,-400.790857,-400.783056,-400.782112,-400.823653,28.979
gdb_57226,CC(C)(C#CC#C)C#N,3.02026,0.8161,0.74726,3.7894,91.7,-0.2598,-0.0331,0.2268,1552.1933,0.121071,-363.575109,-363.565203,-363.564259,-363.609897,35.751
gdb_10145,C#CC(CCO)C#C,2.79615,1.26331,0.91069,1.4739,72.27,-0.2631,0.0329,0.296,1227.8933,0.126838,-346.522478,-346.513059,-346.512114,-346.556832,33.407
gdb_96557,CC1OCCCOC1C,2.20389,1.56121,1.08973,1.5558,82.51,-0.2411,0.0811,0.3222,1221.8836,0.206303,-425.429117,-425.419912,-425.418968,-425.46261,35.911
gdb_68558,CC12CC(C=C1)C2C#N,2.45466,1.66162,1.36837,4.145,80.26,-0.2451,-0.0088,0.2363,1019.5397,0.148424,-364.800929,-364.793163,-364.792219,-364.832863,30.815
gdb_116070,CCC1CCNC(=O)N1,2.59066,1.21009,0.86456,4.2819,80.01,-0.2335,0.0597,0.2933,1368.9996,0.18505,-420.471915,-420.462737,-420.461793,-420.506152,34.448
gdb_122917,COCCNC(C)C#N,3.11974,0.67672,0.63092,4.7823,81.39,-0.2386,0.0335,0.2721,1855.2702,0.18089,-420.398518,-420.387666,-420.386722,-420.435848,37.476
gdb_130120,NC1=CC(N)=NNC1=N,3.23369,1.39494,0.97618,1.8735,80.24,-0.1797,-0.0165,0.1632,1148.2816,0.127522,-430.273739,-430.265638,-430.264694,-430.305822,32.18
gdb_57447,CC(C)(O)C1CN1C=O,2.81615,1.18681,1.07944,4.4451,76.68,-0.2439,0.0159,0.2597,1222.2261,0.167919,-440.28224,-440.272301,-440.271357,-440.316812,36.84
gdb_83992,OC1C2CCOC=NC12,2.59209,1.65092,1.33456,1.824,72.74,-0.2306,0.0161,0.2467,1006.6713,0.149653,-439.067778,-439.060016,-439.059072,-439.100089,30.12
gdb_46341,O=C1CNC1C#CC#C,4.30117,0.75242,0.66974,2.6696,87.58,-0.2392,-0.0396,0.1995,1598.5293,0.098739,-399.476549,-399.467962,-399.467018,-399.510609,30.989
gdb_2102,CC1CCCCC1,4.18988,2.17139,1.5773,0.083,74.12,-0.2876,0.0864,0.374,861.7683,0.197495,-275.020322,-275.013135,-275.012191,-275.050946,28.642
gdb_82546,CC1C2CC3(CC3)CN12,2.94436,1.38561,1.28008,1.5213,85.0,-0.2165,0.0872,0.3036,1120.9629,0.195714,-367.18303,-367.174708,-367.173763,-367.215615,33.345
gdb_53430,CC#CC1OCOC1=N,2.83797,1.0697,0.89933,2.2858,74.48,-0.2571,0.0118,0.269,1335.6536,0.123735,-437.866712,-437.857762,-437.856818,-437.902808,30.715
gdb_48376,O=CC1(NC1C#N)C#C,2.62974,1.26283,0.99375,4.8027,71.74,-0.2731,-0.0558,0.2172,1152.8019,0.086621,-415.555015,-415.546377,-415.545433,-415.588698,30.568
gdb_53426,CC#CC1CNCC1=O,3.24058,0.94379,0.77107,2.0698,81.6,-0.2177,-0.0203,0.1974,1494.0902,0.147233,-401.941094,-401.931735,-401.930791,-401.977104,32.914
gdb_3406,CC1C2OC(C)C12,3.93275,2.6373,2.15025,1.5429,63.78,-0.2311,0.0902,0.3213,702.2989,0.148111,-309.678404,-309.67146,-309.670516,-309.708814,26.542
gdb_108913,CCC1=CC2(C)CC1C2,3.62561,1.06535,1.00698,0.158,92.24,-0.2112,0.0235,0.2347,1346.4335,0.206052,-351.13969,-351.130709,-351.129765,-351.173142,35.471
gdb_652,CC1C2CC1O2,7.23422,3.33967,3.08029,1.993,53.28,-0.2338,0.0894,0.3232,501.501,0.120022,-270.359564,-270.354228,-270.353283,-270.387995,20.486
gdb_58406,CC(C)C(NC=O)C=O,1.71649,1.47323,0.89938,2.2895,77.06,-0.2561,-0.0413,0.2148,1337.3066,0.168535,-440.326796,-440.316488,-440.315544,-440.362814,36.484
gdb_73845,CC1=C(C)C2COC2C1,2.52862,1.54496,1.09994,1.8167,85.47,-0.2241,0.0285,0.2526,1176.3811,0.182701,-387.100442,-387.091671,-387.090727,-387.133707,33.325
gdb_37306,O1C2C1C1C=CC3C2N13,2.96158,2.25199,1.87692,0.4655,70.13,-0.2167,0.0049,0.2216,789.5115,0.12725,-400.694206,-400.688445,-400.687501,-400.723995,24.708
gdb_96367,CC1COCOC11CC1,2.3723,1.66543,1.29461,1.6717,77.69,-0.251,0.0824,0.3334,1081.0645,0.183501,-424.218765,-424.210438,-424.209494,-424.251189,33.046
gdb_77044,CC1C(CC#C)OC1=O,3.21322,1.03162,0.84123,4.0041,74.46,-0.2706,0.0071,0.2777,1349.0165,0.133798,-421.823353,-421.814196,-421.813252,-421.857878,32.934
gdb_80134,OC1C2C=CCN2C1=N,2.53592,1.84311,1.32473,2.5404,74.16,-0.2362,-0.0033,0.2329,978.3357,0.138259,-417.996906,-417.989507,-417.988563,-418.028741,28.997
gdb_111924,COC1C=C(C)CC1C,2.15619,1.34044,0.91698,1.0368,89.42,-0.2348,0.0204,0.2552,1386.0444,0.204677,-388.305567,-388.295473,-388.294529,-388.340583,37.336
gdb_106167,OCC12C3CN1CC2O3,2.90404,1.52264,1.50499,1.1119,70.58,-0.2225,0.0541,0.2766,973.0646,0.14906,-439.004013,-438.996721,-438.995777,-439.035775,28.909
gdb_10423,OCC1(CCO1)C#C,2.46884,2.11415,1.44493,2.6069,66.54,-0.2551,0.0187,0.2738,910.9227,0.128783,-383.67698,-383.668752,-383.667808,-383.709851,30.062
gdb_36070,N#CCC12C3C4C1N4C23,4.48541,1.19134,1.11312,4.6609,71.28,-0.2298,0.0249,0.2546,1075.3055,0.112791,-379.553968,-379.546927,-379.545983,-379.586047,26.782
gdb_20192,C1CC2OC3C(O1)C23,3.36394,2.74418,2.0588,1.5444,62.41,-0.2161,0.07,0.2861,705.6998,0.13314,-383.69029,-383.68451,-383.683566,-383.71988,23.769
gdb_132416,c1c(nc(cn1)F)C=O,3.02543,1.34687,0.93197,3.0362,66.31,-0.2657,-0.0999,0.1658,1113.9047,0.077719,-476.821917,-476.815021,-476.814077,-476.853827,24.868
gdb_118207,COCC(C)OC(C)=O,3.10976,0.83167,0.72841,2.2364,77.12,-0.2595,0.0204,0.28,1640.2588,0.178644,-461.396267,-461.385112,-461.384168,-461.434011,37.888
gdb_48390,O=CC1(CC2CN12)C#C,2.31654,1.70421,1.23363,1.3947,75.89,-0.251,-0.0446,0.2064,1033.8191,0.122075,-400.665164,-400.656835,-400.655891,-400.698208,31.2
gdb_24059,C#CCOc1ccc[nH]1,3.9522,1.04066,0.9026,1.1095,76.39,-0.1833,0.0261,0.2094,1274.2048,0.124095,-400.730217,-400.721812,-400.720868,-400.764042,31.348
gdb_45434,O=C1CC2COC1OC2,2.57122,1.72563,1.68376,3.9551,66.98,-0.2322,-0.0245,0.2077,910.207,0.138387,-458.98626,-458.979263,-458.978319,-459.017845,27.362
gdb_122445,CCOCC1CC1(C)C,4.2786,0.63821,0.61029,0.9257,91.89,-0.2462,0.0862,0.3323,1996.0815,0.226185,-389.481747,-389.470491,-389.469547,-389.51869,40.797
gdb_98765,CNC(=O)C1CC2OC12,3.1161,1.22333,1.02603,3.0782,72.69,-0.2361,0.0279,0.2641,1200.4578,0.147682,-439.076049,-439.067387,-439.066443,-439.110147,31.443
gdb_93810,CC1OCC(O)C(=O)O1,2.99385,1.38003,1.01174,3.1773,64.89,-0.2796,-0.0027,0.2768,1152.3405,0.135381,-496.138185,-496.129717,-496.128773,-496.171457,31.377
gdb_22124,ON=C1CC(O)(C1)C#C,3.18127,0.9983,0.90791,1.3982,75.5,-0.2466,-0.0009,0.2457,1300.7868,0.12047,-437.789883,-437.78065,-437.779706,-437.824197,34.531
gdb_18263,CCC1OCC2OC12,4.29988,1.59171,1.32385,2.0158,67.67,-0.2533,0.0892,0.3425,970.1921,0.154055,-384.928158,-384.920635,-384.919691,-384.960088,28.204
gdb_14647,CC#CCCNC=O,6.6707,0.70177,0.67119,3.5805,74.96,-0.2428,0.027,0.2698,1662.7952,0.140473,-363.868924,-363.859081,-363.858136,-363.907013,32.141
gdb_106100,OCC12C3NC1C(=O)C23,3.0576,1.31999,1.18057,3.1706,69.11,-0.2263,-0.0057,0.2205,1070.4891,0.124793,-437.823282,-437.815616,-437.814672,-437.855859,28.991
gdb_48242,C1CC(C1)C(C=O)C=O,1.94563,1.33803,0.85162,2.9163,77.95,-0.2509,-0.0502,0.2007,1347.8191,0.156988,-423.028143,-423.0187,-423.017755,-423.063918,33.04
gdb_124461,CC(C)(C)n1ncnn1,3.15591,1.32769,1.1793,3.0974,76.53,-0.2837,-0.0173,0.2665,1126.7072,0.15921,-415.390281,-415.38143,-415.380486,-415.424116,32.916
gdb_104796,OCC1(CO)CC2CC12,2.63806,1.33325,1.11264,3.3194,77.9,-0.2381,0.0576,0.2957,1178.3598,0.182715,-424.184668,-424.17572,-424.174776,-424.217924,34.928
gdb_90028,CC1CC2(CCC2O)C1,2.9876,1.11866,0.96897,1.2524,86.35,-0.2512,0.0761,0.3273,1346.1311,0.205275,-388.274493,-388.2651,-388.264156,-388.308522,36.44
gdb_35814,N#CC1CCN2CCC12,2.85975,1.48392,1.14688,3.1718,78.7,-0.2276,0.0342,0.2618,1092.1384,0.162544,-382.074136,-382.066482,-382.065538,-382.106581,29.648
gdb_20374,c1nncn1C2CC2,6.2443,1.44857,1.29803,6.1553,65.91,-0.248,0.0159,0.264,928.3132,0.121212,-358.835303,-358.828691,-358.827747,-358.867214,24.414
gdb_107634,COC12CC1CCC2O,2.43811,1.56047,1.14875,1.5648,77.76,-0.2368,0.0699,0.3067,1144.3252,0.182649,-424.213531,-424.204561,-424.203616,-424.246811,34.654
gdb_76121,CC1C(C#C)C2OC12C,3.13146,1.29451,1.09582,2.0937,81.71,-0.2447,0.0455,0.2901,1170.9154,0.15631,-385.829166,-385.819895,-385.818951,-385.862749,35.077
gdb_83988,CC1C2OCCC=CC12,2.7377,1.52449,1.23589,1.0656,84.15,-0.233,0.0162,0.2491,1109.7441,0.183923,-387.077233,-387.068922,-387.067978,-387.10974,32.756
gdb_25498,c1c(cncn1)CC=O,4.3485,0.97509,0.86634,1.8805,74.22,-0.2592,-0.0543,0.2049,1283.204,0.113791,-416.865308,-416.857576,-416.856632,-416.899528,27.127
gdb_19195,CC1C2COC1C2C,3.16432,1.97705,1.63518,1.6676,74.29,-0.2323,0.0969,0.3292,904.7566,0.178324,-348.986509,-348.978962,-348.978018,-349.017812,29.86
gdb_75286,CC1=CCC2C3CC2C13,2.95202,1.63059,1.21479,0.0161,88.64,-0.2199,0.0272,0.2471,1093.7564,0.185214,-349.930583,-349.923266,-349.922321,-349.961915,30.508
gdb_91443,OC1CN2CC(C=O)C12,2.70853,1.65098,1.23265,1.844,72.01,-0.2189,-0.0408,0.1782,1025.6079,0.147866,-439.036525,-439.028605,-439.027661,-439.069229,30.128
gdb_115838,CC1C2C(CO)CCN12,2.65921,1.22233,1.08429,2.3019,81.25,-0.2162,0.0746,0.2908,1237.517,0.19546,-404.323778,-404.314668,-404.313724,-404.357473,34.769
gdb_105483,CCC1(CCC1)C(=O)C,1.87593,1.48331,1.17947,2.6416,85.35,-0.2355,-0.0074,0.2281,1241.5352,0.203842,-388.309782,-388.299463,-388.298519,-388.345312,37.929
gdb_106791,CCC12NC1(C)CC=C2,2.48487,1.48575,1.10012,1.3678,87.2,-0.2214,0.0118,0.2331,1210.8405,0.194305,-367.213868,-367.204735,-367.203791,-367.247346,35.558
gdb_52671,CC#CC(C)C1(C)CC1,2.6437,1.00649,0.81876,0.3105,94.26,-0.2409,0.0603,0.3012,1535.5778,0.203046,-351.129244,-351.118182,-351.117237,-351.166923,39.934
gdb_106857,COC12CC1(NC2)C#C,2.15502,1.60512,1.11302,1.4949,81.22,-0.2004,0.0272,0.2276,1141.7979,0.145866,-401.848856,-401.839879,-401.838935,-401.882648,33.796
gdb_43857,N=C1CC2(CC2C#C)O1,3.86119,1.05117,0.92579,2.199,78.3,-0.2475,0.022,0.2695,1253.4028,0.122598,-400.697134,-400.688918,-400.687974,-400.730114,31.404
gdb_57307,CC(C)(C)C(=O)CC#C,3.0829,0.95382,0.87723,2.7896,85.0,-0.2423,-0.0144,0.2279,1440.3684,0.177513,-387.082225,-387.071245,-387.070301,-387.118545,40.179
gdb_54901,NC(=O)C1CC(=O)C=C1,3.92748,1.0523,0.93258,6.0449,72.22,-0.2395,-0.0498,0.1897,1231.621,0.124552,-437.955313,-437.946879,-437.945934,-437.9894,30.784
gdb_29045,c1ccnc(=O)c(c1)N,2.73987,1.72588,1.05888,5.1374,85.5,-0.2164,-0.0697,0.1467,1059.7391,0.114871,-416.859524,-416.852092,-416.851148,-416.892109,28.472
gdb_98668,CNC(=O)N1CC(C1)O,4.09006,0.87744,0.78185,3.272,74.73,-0.233,0.0616,0.2946,1484.3845,0.158656,-456.357117,-456.347159,-456.346214,-456.393024,34.674
gdb_127657,Cn1c2ncnn2cn1,3.63046,1.7772,1.20222,2.133,69.05,-0.2373,-0.012,0.2253,951.2586,0.10477,-429.059139,-429.052195,-429.051251,-429.092495,24.804
gdb_99750,CCN(C(C)C)C(=O)N,1.84961,1.39039,1.00048,3.5338,83.09,-0.2271,0.0627,0.2898,1341.5695,0.204598,-421.655075,-421.644061,-421.643117,-421.69113,40.572
gdb_49210,C1C=C(CNC1=O)C=O,4.51959,1.00394,0.82972,1.6547,74.79,-0.2519,-0.0664,0.1855,1297.4225,0.125195,-437.949155,-437.940997,-437.940053,-437.982824,29.434
gdb_111598,COC1C2CN3CC2C13,4.2286,1.27006,1.23343,2.5872,78.6,-0.2221,0.0807,0.3028,1099.4643,0.173303,-403.075531,-403.068168,-403.067224,-403.107451,29.413
gdb_40756,C1OC1C1OC2COC12,3.9186,1.17244,1.05522,1.9452,68.27,-0.2542,0.045,0.2992,1151.236,0.135925,-458.88339,-458.875893,-458.874948,-458.916113,28.001
gdb_107853,OCC12CC3C(CC13)O2,3.39781,1.43999,1.35307,2.3674,74.4,-0.2472,0.0776,0.3248,1019.403,0.160853,-422.980496,-422.973245,-422.972301,-423.012147,29.647
gdb_64298,CC1(C(=CCO1)C#C)C,2.38614,1.50286,1.15956,1.0533,86.6,-0.2285,-0.0241,0.2044,1137.9171,0.156417,-385.876856,-385.867407,-385.866462,-385.910948,35.512
